Pond,Link,centriod,geometry,Area(sqm),Water_status
11,"https://www.google.com/maps?q=15.906307039206078,80.6910266483313","(15.906307039206078, 80.6910266483313)","POLYGON ((466933.73851557187 1758558.0352541606, 466916.26148442907 1758558.0352541602, 466908.03524050885 1758566.26149808, 466908.03523028083 1758567.1925171106, 466908.03463292547 1758567.1927165072, 466908.03449223534 1758631.965437298, 466933.7384836851 1758631.9647777257, 466951.70793137036 1758613.9953300406, 466951.6286879397 1758613.5994115414, 466942.20130933344 1758566.498047922, 466934.17149924743 1758558.4682378366, 466934.17149924743 1758558.4682378366, 466933.73851557187 1758558.0352541606))",200.0,1
12,"https://www.google.com/maps?q=15.905630015808612,80.69268894675132","(15.905630015808612, 80.69268894675132)","POLYGON ((467105.72509275784 1758488.0353546373, 467068.0445439483 1758506.880334211, 467068.0487220477 1758507.6635194868, 467068.0345623773 1758507.6653837578, 467068.0353376891 1758534.2747150469, 467076.885059085 1758551.9653177757, 467104.27526844986 1758551.9646587013, 467117.33507362765 1758545.4371240174, 467133.5019520776 1758542.2013093329, 467141.9647393552 1758533.7385220556, 467141.9647361628 1758533.1267584122, 467141.9647458396 1758533.1267535759, 467141.9647458389 1758506.261484429, 467123.73851557175 1758488.0352541604, 467123.1150197347 1758488.0352541606, 467123.1147448797 1758488.0347045881, 467107.900664893 1758488.0352541606, 467106.13341635896 1758488.0352541604, 467106.13334230124 1758488.035318001, 467105.7251365303 1758488.0353327459, 467105.72509275784 1758488.0353546373, 467105.72509275784 1758488.0353546373))",0.0,0
13,"https://www.google.com/maps?q=15.89976418435491,80.67827283753125","(15.89976418435491, 80.67827283753125)","POLYGON ((465465.03448571963 1757884.9655142801, 465495.0167232465 1757894.9646416663, 465538.9005543518 1757895.6504788785, 465555.0167232459 1757904.964641666, 465654.9655142805 1757914.9655142804, 465654.96474584023 1757865.018843741, 465644.98115625826 1757855.0352541604, 465594.18913791864 1757854.8369371218, 465574.98327675345 1757845.0353583335, 465531.09944565076 1757844.3495211215, 465514.98327675415 1757835.035358333, 465475.0188437416 1757835.0352541602, 465465.0352541619 1757845.0188437414, 465465.03448571963 1757884.9655142801))",11800.0,1
14,"https://www.google.com/maps?q=15.89822753468697,80.67591297200968","(15.89822753468697, 80.67591297200968)","POLYGON ((465306.76640834776 1757732.3193098411, 465334.17442267656 1757741.5288387346, 465341.96476176835 1757733.7384996423, 465341.96516905917 1757701.9655142801, 465341.9655142819 1757701.9655142806, 465341.9655142811 1757687.5753862131, 465341.96535352146 1757687.575359389, 465341.96547582396 1757678.0344857196, 465333.73774713086 1757678.0344857192, 465333.50195207767 1757677.7986906671, 465286.00466995884 1757668.29206863, 465278.0345148063 1757676.2622237832, 465278.03346020356 1757678.0344857192, 465277.5753862129 1757678.034485719, 465268.5736819339 1757731.9826253564, 465305.8253959576 1757732.1630980838, 465306.14402564627 1757732.1816199322, 465306.45888436865 1757732.2338877183, 465306.76640834776 1757732.3193098411))",2500.0,1
15,"https://www.google.com/maps?q=15.901697347932835,80.67672629830048","(15.901697347932835, 80.67672629830048)","POLYGON ((465364.8795404746 1758093.4288236767, 465365.03447085794 1758093.6731823282, 465365.1651409607 1758093.9313293765, 465365.2703353388 1758094.2008636356, 465365.3490755156 1758094.479278002, 465365.40062907647 1758094.7639827682, 465367.80110938847 1758112.9980961385, 465385.48594681284 1758121.8449334402, 465441.9654031252 1758112.4244719332, 465441.9646813923 1758095.92495243, 465429.0917405494 1758076.6115208617, 465431.9648418394 1758073.7384195714, 465431.96528906067 1758067.949613507, 465421.77065182856 1758067.6570238182, 465407.80389827763 1758065.909880789, 465394.1786951014 1758058.0353442773, 465348.03448571987 1758058.0345381296, 465348.0344857193 1758072.011993287, 465348.17045032606 1758072.0141163617, 465348.18616160617 1758073.9775705019, 465364.7017909153 1758093.2005263527, 465364.8795404746 1758093.4288236767))",1800.0,1
16,"https://www.google.com/maps?q=15.902817117710006,80.68074535588319","(15.902817117710006, 80.68074535588319)","POLYGON ((465851.96466694615 1758194.4052991497, 465851.9653830492 1758178.0344857194, 465851.5668038902 1758178.0344857194, 465822.80358197127 1758178.0344857194, 465818.034485719 1758178.0344857194, 465809.2081826488 1758178.0344857194, 465807.19641802914 1758178.0344857194, 465798.15786994866 1758205.136440219, 465807.3761364724 1758241.9655142801, 465817.98393113096 1758241.9655142806, 465818.02283674106 1758251.9655142806, 465842.3174510546 1758251.965514281, 465848.4059858579 1758203.2992293742, 465851.96466694615 1758194.4052991497))",2000.0,1
17,"https://www.google.com/maps?q=15.893258915908776,80.58955915435757","(15.893258915908776, 80.58955915435757)","POLYGON ((456071.9654565705 1757191.9655142797, 456071.96551428066 1757191.9655142804, 456071.9655142801 1757191.9651806948, 456081.1218443869 1757191.9654156498, 456072.2692047974 1757156.6047851935, 456071.9655142817 1757156.3204594597, 456071.9655142805 1757148.0346012951, 456056.2615323002 1757148.035206288, 456048.3580603017 1757155.9386782881, 456048.52006972104 1757156.5859017165, 456048.0352541611 1757156.8385134698, 456048.0352541611 1757183.738515571, 456056.26151631464 1757191.964777726, 456057.3759231544 1757191.9648063213, 456057.3761003665 1757191.9655142804, 456071.9654565705 1757191.9655142797))",0.0,0
18,"https://www.google.com/maps?q=15.883129205669752,80.59579497494428","(15.883129205669752, 80.59579497494428)","POLYGON ((456698.03534769436 1756054.496178591, 456698.1540014578 1756054.8519601673, 456698.19008347846 1756063.855725378, 456702.6506204004 1756068.3350064356, 456707.1964022795 1756081.9654670565, 456744.27472537715 1756081.9646571425, 456761.64162959065 1756073.2768658816, 456752.4245858604 1756018.0344857196, 456698.0345512512 1756018.0344857192, 456698.03534769436 1756054.496178591))",3600.0,1
19,"https://www.google.com/maps?q=15.96168661888395,80.57207757546426","(15.96168661888395, 80.57207757546426)","POLYGON ((454231.9655142807 1764751.96545657, 454231.9655142805 1764728.0344857194, 454188.0585873315 1764728.0344857192, 454188.05859310564 1764728.0352073936, 454186.2615035474 1764728.035235042, 454178.68624992244 1764735.6104886662, 454178.46823783754 1764735.8285007523, 454187.1926975819 1764761.9653103726, 454213.20715084043 1764761.9646844033, 454223.7385220557 1764761.9647393555, 454231.96477772546 1764753.7384836848, 454231.96479372005 1764753.1152030737, 454231.9653717866 1764753.1149138962, 454231.96537761943 1764751.9654565672, 454231.9655142807 1764751.96545657))",1000.0,1
20,"https://www.google.com/maps?q=15.961981055929153,80.57436734947885","(15.961981055929153, 80.57436734947885)","POLYGON ((454471.96551428083 1764768.0344857192, 454471.9648232213 1764768.0344857196, 454471.96477772715 1764766.2615163152, 454464.0613217123 1764758.3580603006, 454428.03448572126 1764767.3761003667, 454428.0344857194 1764782.506768724, 454428.838859805 1764782.667865763, 454428.86465220654 1764783.235467794, 454445.7464883558 1764791.9646629277, 454471.9655142811 1764791.9654268683, 454471.9655142812 1764781.9654565693, 454471.96551428083 1764768.0344857192))",200.0,1
