Pond,Link,centriod,polygon
12,"https://www.google.com/maps?q=15.905630015808612,80.69268894675132","(15.905630015808612, 80.69268894675132)","POLYGON ((80.69269818751827 15.90533276805466, 80.69234591641498 15.90550263247468, 80.69234594468017 15.90550971280734, 80.69234581237465 15.905509729472655, 80.69234545380787 15.905750287422535, 80.69242788501882 15.905910334559103, 80.69268376535028 15.90591069274397, 80.69280586012702 15.905851854996795, 80.69295693604505 15.90582281676995, 80.69303611175927 15.905746422468681, 80.69303612012081 15.905740891904644, 80.69303612021127 15.905740891861045, 80.69303648871013 15.905498020135024, 80.69286646908752 15.905333006443499, 80.69286064438342 15.905332998162933, 80.69286064182326 15.905332993190953, 80.69271851173515 15.905332796054402, 80.6927020020826 15.905332772572084, 80.69270200138988 15.905332773148242, 80.6926981879275 15.905332767857331, 80.69269818751827 15.90533276805466, 80.69269818751827 15.90533276805466))"
13,"https://www.google.com/maps?q=15.89976418435491,80.67827283753125","(15.89976418435491, 80.67827283753125)","POLYGON ((80.677379544743 15.899858460608598, 80.67765948713327 15.89994927418445, 80.67806942894428 15.899956085470462, 80.67821984826035 15.900040513006301, 80.6791534018072 15.90013231265608, 80.6791541104374 15.89968077708756, 80.67906098949425 15.899590383425807, 80.67858650692469 15.899587885420036, 80.6784072317215 15.899499008778553, 80.67799729081199 15.899492198149932, 80.6778468719948 15.899407770464155, 80.67747353535812 15.899407212689175, 80.67738012757223 15.899497328651984, 80.677379544743 15.899858460608598))"
14,"https://www.google.com/maps?q=15.89822753468697,80.67591297200968","(15.89822753468697, 80.67591297200968)","POLYGON ((80.67590325487109 15.898476273086816, 80.67615915850726 15.898559914259462, 80.67623204603034 15.898489595883559, 80.67623250928713 15.898202356911261, 80.67623251251209 15.898202356916098, 80.67623272059689 15.898072265087704, 80.67623271909551 15.898072264842957, 80.67623285820034 15.897986011983905, 80.67615599759404 15.897985896833879, 80.67615379828835 15.897983761863067, 80.67571023275087 15.897897153372583, 80.67563566288305 15.897969094656508, 80.675635627357 15.897985116513404, 80.67563134818788 15.897985110091385, 80.67554647561339 15.8984726940286, 80.67589446649784 15.898474847695349, 80.67589744276557 15.898475019602955, 80.6759003833177 15.898475496532845, 80.67590325487109 15.898476273086816))"
15,"https://www.google.com/maps?q=15.901697347932835,80.67672629830048","(15.901697347932835, 80.67672629830048)","POLYGON ((80.67644091002906 15.901741643197976, 80.67644235383017 15.901743854452752, 80.67644357079661 15.901746190020095, 80.6764445496086 15.901748628175449, 80.67644528116163 15.901751146240034, 80.67644575865104 15.901753720791758, 80.67646791998641 15.901918597125384, 80.67663300105818 15.90199882291987, 80.67716075904207 15.90191444757999, 80.67716099026117 15.901765286136975, 80.67704101207244 15.901590506254584, 80.67706789352297 15.901564572524766, 80.67706798121124 15.901512239696498, 80.67697274897829 15.901509452238846, 80.67684229932094 15.90149346237284, 80.67671512887785 15.901422083420034, 80.67628405825538 15.901421430800339, 80.67628385612518 15.90154779188177, 80.67628512625136 15.901547812977869, 80.67628524462945 15.901565563509514, 80.67643925282299 15.901739576824019, 80.67644091002906 15.901741643197976))"
16,"https://www.google.com/maps?q=15.902817117710006,80.68074535588319","(15.902817117710006, 80.68074535588319)","POLYGON ((80.68098973800747 15.902661271603511, 80.68098997801367 15.902513273682912, 80.68098625453946 15.90251326818571, 80.68071755229803 15.902512871314228, 80.68067300002795 15.902512805478517, 80.68059054586581 15.902512683610253, 80.68057175222549 15.902512655828616, 80.68048692843296 15.902757542209361, 80.68057251878439 15.903090617334215, 80.6806716156895 15.903090763809871, 80.68067183647464 15.903181167868501, 80.68089879431876 15.903181503166316, 80.68095636648107 15.902741626786149, 80.68098973800747 15.902661271603511))"
17,"https://www.google.com/maps?q=15.893258915908776,80.58955915435757","(15.893258915908776, 80.58955915435757)","POLYGON ((80.58964505428771 15.89344475019871, 80.5896450548268 15.893444750199738, 80.58964505483291 15.893444747184041, 80.58973058735862 15.89344491164361, 80.58964853956476 15.893125085102897, 80.58964570789755 15.893122509337257, 80.58964585970472 15.893047602954205, 80.58949916351307 15.893047329931097, 80.58942518964328 15.893118639241752, 80.58942669116401 15.893124493189273, 80.58942215770637 15.893126768266493, 80.58942166459084 15.893369951499235, 80.5894983582227 15.893444465041087, 80.58950876829182 15.893444485066146, 80.58950876993426 15.893444491469426, 80.58964505428771 15.89344475019871))"
18,"https://www.google.com/maps?q=15.883129205669752,80.59579497494428","(15.883129205669752, 80.59579497494428)","POLYGON ((80.59551393352699 15.883172731727155, 80.5955150354376 15.883175950165926, 80.59551520998136 15.883257347385515, 80.59555679454365 15.883297919262311, 80.59559901026451 15.883421221876487, 80.59594535518119 15.883421861783035, 80.59610773426334 15.883343624644109, 80.59602263453395 15.882844057060748, 80.59551458411809 15.88284310766937, 80.59551393352699 15.883172731727155))"
19,"https://www.google.com/maps?q=15.96168661888395,80.57207757546426","(15.96168661888395, 80.57207757546426)","POLYGON ((80.57231231740414 15.961755501933151, 80.57231277644452 15.961539161383797, 80.57190248891106 15.961538346208783, 80.57190248895117 15.961538352732957, 80.57188569607827 15.961538319601528, 80.57181476377616 15.961606660611263, 80.57181272237857 15.961608627431657, 80.57189374612437 15.961845071245305, 80.57213683811999 15.96184554868342, 80.5722352484893 15.961845744673228, 80.57231227651117 15.961771530423228, 80.57231228861642 15.96176589584777, 80.5723122940237 15.961765893244273, 80.57231231612711 15.961755501930591, 80.57231231740414 15.961755501933151))"
20,"https://www.google.com/maps?q=15.961981055929153,80.57436734947885","(15.961981055929153, 80.57436734947885)","POLYGON ((80.57455468953351 15.96190521115293, 80.5745546830759 15.961905211140172, 80.57455471648188 15.961889183152802, 80.57448101345607 15.961817588469298, 80.5741441884923 15.961898447854768, 80.57414389949477 15.96203523201668, 80.57415141289835 15.962036703228238, 80.57415164307454 15.962041834936691, 80.57430922887829 15.962121060428535, 80.57455423288889 15.962121551489826, 80.57455442370683 15.962031149824579, 80.57455468953351 15.96190521115293))"
21,"https://www.google.com/maps?q=15.966552170667093,80.55882313848343","(15.966552170667093, 80.55882313848343)","POLYGON ((80.55871527264506 15.966665681130742, 80.55871521918397 15.966689656291338, 80.55874500898496 15.966680098574855, 80.55878011764086 15.966697120738711, 80.55894628506869 15.966617170695487, 80.5590231855895 15.966469329327332, 80.55887655750536 15.966397961055176, 80.55862229771246 15.966561158047154, 80.55862314731452 15.966621014807814, 80.55871527264506 15.966665681130742))"
